GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
Barcode,Scan_MLB_SN,Scan DUT serial number,apply,,,,,,,,
Fixture_Initialization,Fixture_ID,Get the fixture ID,apply,,,,,,,,
Fixture_Initialization,Vendor_ID,Get the vendor ID,apply,,,,,,,,
Fixture_Initialization,Fixture_FW_Version,Get the fixtrure FW Version,apply,,,,,,,,
Power_Tree,FIX_MCU_RST_L_HOLD,Short MCU_RST_L to Ground,apply,,0,MCU_RST_L,,,,,
Power_Tree,FIX_W2_RST_L_HOLD,Short W2_RST_L to Ground,apply,,0,W2_RST_L,,,,,
Power_Tree,FIX_L50_RST_L_HOLD,Short L50_RST_L to Ground,apply,,0,L50_RST_L,,,,,
Power_Tree,FIX_SET_PP_VBATT_3V8,Set PP_VBATT to 3.8V,apply,,3.8,PP_VBATT,,,,,
Power_Tree,PP_VBATT_VOLT,measure the volt of PP_VBATT_VOLT,measure_v,,,PP_VBATT_V,V,3.7,3.9,,
Power_Tree,FIX_EL_DISABLE,Disable Eload ,eload,,0,EL_EN,,,,,
Power_Tree,PP_BERYL_VDD_1V5,measure the volt of PP_BERYL_VDD_1V5,measure_v,,,PP_BERYL_VDD_1V5_V,V,1.4,1.6,,
Power_Tree,PP_VDD_PRE_MAIN,measure the volt of PP_PRE_VDDMAIN,measure_v,,,PP_PRE_VDDMAIN_V,V,3.7,3.9,,
Power_Tree,PP_VDD_MAIN,measure the volt of PP_VDDMAIN,measure_v,,,PP_VDDMAIN_V,V,3.7,3.9,,
Power_Tree,PP_0V73_BUCK0,measure the volt of PP_A1_0V73_BUCK0,measure_v,,,PP_A1_0V73_BUCK0,V,0.63,0.83,,
Power_Tree,PP_0V85_BUCK1,measure the volt of PP_A1_0V85_BUCK1,measure_v,,,PP_A1_0V85_BUCK1,V,0.75,0.95,,
Power_Tree,PP_1V2_BUCK2,measure the volt of PP_A1_1V2_BUCK2,measure_v,,,PP_A1_1V2_BUCK2,V,1.1,1.3,,
Power_Tree,PP_1V8_BUCK3,measure the volt of PP_HO_1V8_BUCK3,measure_v,,,PP_HO_1V8_BUCK3,V,1.7,1.9,,
Power_Tree,PP_1V8_LDO0,measure the volt of PP_A1_1V8_LDO0,measure_v,,,PP_A1_1V8_LDO0,V,1.7,1.9,,
Power_Tree,PP_1V2_LDO1,measure the volt of PP_A1_1V2_LDO1,measure_v,,,PP_A1_1V2_LDO1,V,1.1,1.3,,
Power_Tree,PP_1V2_LDO2,measure the volt of PP_A3_1V2_LDO2,measure_v,,,PP_A3_1V2_LDO2,V,1.1,1.3,,
Power_Tree,PP_1V8_LDO3,measure the volt of PP_A3_1V8_LDO3,measure_v,,,PP_A3_1V8_LDO3,V,1.7,1.9,,
Power_Tree,PP_3V3_BUBO0,measure the volt of PP_XX_3V3_BUBO0,measure_v,,,PP_XX_3V3_BUBO0,V,3.2,3.4,,
Power_Tree,PP_2V1_BUCK4,measure the volt of PP_A1_1V8_LDO0,measure_v,,,PP_A1_1V8_LDO0,V,2,2.2,,
Power_Tree,PP_1V2_BUCK5,measure the volt of  PP_A0_1V2_BUCK5,measure_v,,, PP_A0_1V2_BUCK5,V,1.1,1.3,,
Power_Tree,PP_BERYL_VDDMAIN,measure the volt of PP_SH_4V5_LDO4,measure_v,,,PP_SH_4V5_LDO4,V,3.7,3.9,,
Power_Tree,PP_3V3_LDO6,measure the volt of PP_XX_3V3_LDO6,measure_v,,,PP_XX_3V3_LDO6,V,3.2,3.4,,
Power_Tree,PP_1V8_LDO7,measure the volt of  PP_SH_1V8_LDO7,measure_v,,, PP_SH_1V8_LDO7,V,1.7,1.9,,
Power_Tree,PP_3V0_LDO8,measure the volt of PP_A0_3V0_LDO8,measure_v,,,PP_A0_3V0_LDO8,V,2.9,3.1,,
Power_Tree,PP_1V8_LDO11,measure the volt of PP_A3_1V8_LDO11,measure_v,,,PP_A3_1V8_LDO11,V,1.7,1.9,,
Power_Tree,PP_1V8_LS0,measure the volt of  PP_A0_1V8_LS0,measure_v,,, PP_A0_1V8_LS0,V,1.7,1.9,,
Power_Tree,PP_1V8_LS1,measure the volt of PP_A0_1V8_LS1,measure_v,,,PP_A0_1V8_LS1,V,1.7,1.9,,
Power_Tree,PP_TRISTAR_1V8,measure the volt of PP_TRISTAR_1V8,measure_v,,,PP_TRISTAR_1V8,V,1.7,1.9,,
Power_Tree,FIX_EL_ENABLE,,eload,,1,EL_EN,,,,,
Power_Tree,FIX_SET_PP_VDD_PRE_MAIN_EL_100MA,connect 100ma eload to PP_PRE_VDDMAIN,eload,,0.1,PP_PRE_VDDMAIN_EL,V,,,,
Power_Tree,PP_VDD_PRE_MAIN_EL,measure the volt of PP_PRE_VDDMAIN,measure_v,,0.1,PP_PRE_VDDMAIN_EL,V,3.7,3.9,,
Power_Tree,PP_VDD_MAIN_EL,measure the volt of PP_VDDMAIN,measure_v,,,PP_VDDMAIN,V,3.7,3.9,,
Power_Tree,PP_0V73_BUCK0_EL,measure the volt of PP_A1_0V73_BUCK0,measure_v,,,PP_A1_0V73_BUCK0,V,0.63,0.83,,
Power_Tree,PP_0V85_BUCK1_EL,measure the volt of PP_A1_0V85_BUCK1,measure_v,,,PP_A1_0V85_BUCK1,V,0.75,0.95,,
Power_Tree,PP_1V2_BUCK2_EL,measure the volt of PP_A1_1V2_BUCK2,measure_v,,,PP_A1_1V2_BUCK2,V,1.1,1.3,,
Power_Tree,PP_1V8_BUCK3_EL,measure the volt of PP_HO_1V8_BUCK3,measure_v,,,PP_HO_1V8_BUCK3,V,1.7,1.9,,
Power_Tree,PP_1V8_LDO0_EL,measure the volt of PP_A1_1V8_LDO0,measure_v,,,PP_A1_1V8_LDO0,V,1.7,1.9,,
Power_Tree,PP_1V2_LDO1_EL,measure the volt of PP_A1_1V2_LDO1,measure_v,,,PP_A1_1V2_LDO1,V,1.1,1.3,,
Power_Tree,PP_1V2_LDO2_EL,measure the volt of PP_A3_1V2_LDO2,measure_v,,,PP_A3_1V2_LDO2,V,1.1,1.3,,
Power_Tree,PP_1V8_LDO3_EL,measure the volt of PP_A3_1V8_LDO3,measure_v,,,PP_A3_1V8_LDO3,V,1.7,1.9,,
Power_Tree,PP_3V3_BUBO0_EL,measure the volt of PP_XX_3V3_BUBO0,measure_v,,,PP_XX_3V3_BUBO0,V,3.3,3.4,,
Power_Tree,PP_2V1_BUCK4_EL,measure the volt of PP_A0_2V1_BUCK4,measure_v,,,PP_A0_2V1_BUCK4,V,2,2.2,,
Power_Tree,PP_1V2_BUCK5_EL,measure the volt of PP_A0_1V2_BUCK5,measure_v,,,PP_A0_1V2_BUCK5,V,1.1,1.3,,
Power_Tree,PP_BERYL_VDDMAIN_EL,measure the volt of PP_SH_4V5_LDO4,measure_v,,,PP_SH_4V5_LDO4,V,3.7,3.9,,
Power_Tree,PP_3V3_LDO6_EL,measure the volt of PP_XX_3V3_LDO6,measure_v,,,PP_XX_3V3_LDO6,V,3.2,3.4,,
Power_Tree,PP_1V8_LDO7_EL,measure the volt of PP_SH_1V8_LDO7,measure_v,,,PP_SH_1V8_LDO7,V,1.7,1.9,,
Power_Tree,PP_3V0_LDO8_EL,measure the volt of PP_A0_3V0_LDO8,measure_v,,,PP_A0_3V0_LDO8,V,2.9,3.1,,
Power_Tree,PP_1V8_LDO11_EL,measure the volt of PP_A3_1V8_LDO11,measure_v,,,PP_A3_1V8_LDO11,V,1.7,1.9,,
Power_Tree,PP_1V8_LS0_EL,measure the volt of PP_A0_1V8_LS0,measure_v,,,PP_A0_1V8_LS0,V,1.7,1.9,,
Power_Tree,PP_1V8_LS1_EL,measure the volt of PP_A0_1V8_LS1,measure_v,,,PP_A0_1V8_LS1,V,1.7,1.9,,
Power_Tree,PP_TRISTAR_1V8_EL,measure the volt of PP_TRISTAR_1V8_EL,measure_v,,,PP_TRISTAR_1V8_EL,V,1.7,1.9,,
Reset_Current,SET_BERYL_STATE_0,beryl active state 0 target,beryl_send_cmd,,i2c write reg16 i2c1 0x78 0x1401 00,,,,,,
Reset_Current,GET_BERYL_STATE_1,beryl state status check,beryl_send_cmd,,i2c read reg16 i2c1 0x78 0x1401 1,,,,,,
Reset_Current,I_RESET_MCU_HEARST,measure the reset current of PP_VBATT,measure_i,,,PP_VBATT,mA,0,0.05,,
W2_FW_DOWNLOAD,W2_FLASH_DL,down the bin file to w2's flash,spi_flash_write,,file.bin,W2_FLASH_DL,,,,,
W2_FW_DOWNLOAD,SET_MCU_BITB_SWD_IO_0,insecure boot preparation ground TMS0,apply,,0,MCU_BITB_SWD_IO,,,,,
W2_FW_DOWNLOAD,RELEASE_W2_RST_L,release HEARST reset pin,apply,,0,W2_RST_L,,,,,
W2_FW_DOWNLOAD,DELAY_500MS,delay 500 ms,delay,,500,,mS,,,,
W2_FW_DOWNLOAD,RELEASE_MCU_BITB_SWD_IO,release TMS0 pin,apply,,hiZ,MCU_BITB_SWD_IO,,,,,
W2_FW_DOWNLOAD,HEARST_FW_CHECK,send uart cmd to hearst,w2_send_cmd,,ft version,,,,,,
W2_FW_DOWNLOAD,HEARST_FW_VERSION,get hearst version,w2_rev,,,,,,,,
STM32_FW_DOWNLOAD,FIX_W2_RST_L_HOLD,Short W2_RST_L to Ground,apply,,0,W2_RST_L,,,,,
STM32_FW_DOWNLOAD,RELEASE_MCU_RST_L,release reset pin for STM32,apply,,hiZ,MCU_RST_L,,,,,
STM32_FW_DOWNLOAD,STM32_FW_DL,write to stm32 flash,swd_write,,file.bin,STM32_FW_DL,,,,,
STM32_FW_DOWNLOAD,STM32_FW_CHECK,check the fw of mcu,mcu_send_cmd,,ft fw ver,,,,,,
STM32_FW_DOWNLOAD,STM32_FW_VERSION,verify the fw of mcu,mcu_rev,,,,,,,,
MLB_Board_Revision_Tracking,SET_BERYL_STATE_0,beryl active state 0 target,mcu_send_cmd,,beryl pwr mode set ACT0,,,,,,
MLB_Board_Revision_Tracking,GET_BERYL_STATE_0,beryl state status check,mcu_send_cmd,,beryl pwr mode get ACT0,,,0,0,,
MLB_Board_Revision_Tracking,SEND_HW_REV0,send hw revision cmd,mcu_send_cmd,,gpio config G 13 input none vhigh 0,,,,,,
MLB_Board_Revision_Tracking,GET_HW_REV0,hw_rev_0 record m,mcu_rev,,,gpio get G 13,,0,0,,
MLB_Board_Revision_Tracking,SEND_HW_REV1,send hw revision cmd,mcu_send_cmd,,,gpio config G 14 input none vhigh 0,,,,,
MLB_Board_Revision_Tracking,GET_HW_REV1,hw_rev_1 record n,mcu_rev,,,gpio get G 14,,0,0,,
L50_FW_DOWNLOAD,SET_BERYL_STATE_3,beryl active state 3 target,mcu_send_cmd,,,beryl pwr mode set ACT3,,,,,
L50_FW_DOWNLOAD,L50_FW_DL,download the fw of l50,l50_spi,,bin.file,l50_spi,,,,,
L50_FW_DOWNLOAD,L50_FW_DL,download the fw of l50,l50_spi,,bin.file,l50_spi,,,,,
MLB_SN,SET_BERYL_STATE_0,beryl active state 0 target,mcu_send_cmd,,,beryl pwr mode set ACT0,,,,,
MLB_SN,GET_BERYL_STATE_0,beryl state status check,mcu_send_cmd,,,beryl pwr mode set ACT0,,0,0,,
MLB_SN,MLB_SN_WRITE,wite 17 bit sn to mlb,mcu_send_cmd,,,eeprom write MLB SN xxxxxxxxxxxxxxxxx,,,,,
MLB_SN,MLB_SN_READ,read 17 bit sn from mlb,mcu_send_cmd,,,eeprom read MLB SN,,,,,
Beryl_and_System_Operation_Modes,SET_BERYL_STATE_3_1,beryl active state 3 target,mcu_send_cmd,,,beryl pwr mode set ACT3,,,,,
Beryl_and_System_Operation_Modes,GET_BERYL_STATE_3_1,beryl state status check,mcu_send_cmd,,,beryl pwr mode set ACT3,,3,3,,
Beryl_and_System_Operation_Modes,SET_BERYL_HOSTOFF,set hostoff of stm32,mcu_send_cmd,,,beryl mode set HOSTOFF,,,,,
Beryl_and_System_Operation_Modes,GET_BERYL_MODE,get hostoff of stm32,mcu_send_cmd,,,beryl mode get,,HOSTOFF,HOSTOFF,,
Beryl_and_System_Operation_Modes,SET_BERYL_STATE_3_2,beryl active state 3 target,mcu_send_cmd,,,beryl pwr mode set ACT3,,,,,
Beryl_and_System_Operation_Modes,SET_BERYL_SYSOFF,set sysoff of stm32,mcu_send_cmd,,,beryl mode set SYSOFF,,,,,
Beryl_and_System_Operation_Modes,GET_BERYL_SYSOFF,get sysoff of stm32,mcu_send_cmd,,,beryl mode get,,no response,no response,,
Beryl_and_System_Operation_Modes,FIX_SET_PP_VBATT_0,Set PP_VBATT to 0V,apply,,0,PP_VBATT,,,,,
Beryl_and_System_Operation_Modes,DELAY_100MS,delay 100 ms,delay,,100,,mS,,,,
Charger_Operation,RELEASE_MCU_RST_L,release reset pin for STM32,apply,,hiZ,MCU_RST_L,,,,,
Charger_Operation,RELEASE_W2_RST_L,release W2_RST_L,apply,,hiZ,W2_RST_L,,,,,
Charger_Operation,RELEASE_MCU_BITB_SWD_IO,release TMS0 pin,apply,,hiZ,MCU_BITB_SWD_IO,,,,,
Charger_Operation,RELEASE_L50_RST_L,release L50_RST_L,apply,,hiZ,L50_RST_L,,,,,
Charger_Operation,FIX_SET_PP_VBATT_3V8,Set PP_VBATT to 3.8V,apply,,,PP_VBATT,,,,,
Charger_Operation,FIX_SET_PP_VDDMAIN_5V_1,Set PP_VDDMAIN to 5V,apply,,,PP_VDDMAIN,,,,,
Charger_Operation,DELAY_500MS,delay 500 ms,delay,,500,,mS,,,,
Charger_Operation,PP_VBATT_VOLT,measure the volt of PP_VBATT_VOLT,measure_v,,,PP_VBATT,V,3.7,3.9,,
Charger_Operation,SET_BERYL_STATE_0,beryl active state 0 target,mcu_send_cmd,,,beryl pwr mode set ACT0,,,,,
Charger_Operation,GET_BERYL_STATE_0,beryl state status check,mcu_send_cmd,,,beryl pwr mode get,,0,0,,
Charger_Operation,SET_TIGRIS_VBUS_DET_INPUT,beryl state status check,mcu_send_cmd,,,gpio config D 4 input none vhigh 0,,,,,
Charger_Operation,GET_TIGRIS_VBUS_DET_1,beryl state status check,mcu_send_cmd,,,gpio get D 4,,1,1,,
Charger_Operation,FIX_SET_PP_VDDMAIN_0V,Set PP_VDDMAIN to 0V,apply,,,PP_VDDMAIN,,,,,
Charger_Operation,GET_TIGRIS_VBUS_DET_2,beryl state status check,mcu_send_cmd,,,gpio get D 4,,0,0,,
Charger_Operation,FIX_SET_PP_VDDMAIN_5V_2,Set PP_VDDMAIN to 5V,apply,,,PP_VDDMAIN,,,,,
Charger_Operation,GET_TIGRIS_VBUS_DET_3,beryl state status check,mcu_send_cmd,,,gpio get D 4,,1,1,,
Charger_Operation,FIX_SET_PP_VBATT_2V9,Set PP_VBATT to 2.9V,apply,,2.9,PP_VBATT,,,,,
Charger_Operation,PP_CHGR_BUCK_MODE,measure the volt of PP_PRE_VDDMAIN,measure_v,,,PP_PRE_VDDMAIN,V,4.15,4.35,,
Charger_Operation,FIX_SET_PP_VBATT_2V4,Set PP_VBATT to 2.4V,apply,,2.4,PP_VBATT,,,,,
Charger_Operation,PP_VBATT_VOLT_2V4,measure the volt of PP_VBATT_VOLT,measure_v,,,PP_VBATT,V,2.3,2.5,,
Charger_Operation,PRE_CHARGE_0X20,enable charger test mode,mcu_send_cmd,,,i2c write reg8 0xEA 0x20 A5,,,,,
Charger_Operation,PRE_CHARGE_0X21,charger test mode control,mcu_send_cmd,,,i2c write reg8 0xEA 0x21 1E,,,,,
Charger_Operation,PRE_CHARGE_0X21,0.2A forced charge current,mcu_send_cmd,,,i2c write reg8 0xEA 0x0C 14,,,,,
Charger_Operation,I_BATT_PRE_CHARGE,measure the reset current of PP_VBATT,measure_i,,,PP_VBATT,A,-0.19,-0.21,,
Charger_Operation,FIX_SET_PP_VBATT_3V8_2,Set PP_VBATT to 3.8V,apply,,3.8,PP_VBATT,,,,,
Charger_Operation,FAST_CHARGE_0X0C,enable charger test mode,mcu_send_cmd,,,i2c write reg8 0xEA 0x0C 32,,,,,
Charger_Operation,I_BATT_FAST_CHARGE,measure the reset current of PP_VBATT,measure_i,,,PP_VBATT,A,-0.52,-0.48,,
Charger_Operation,CHARGE_MODE_DISABLE,disabled charger test mode,mcu_send_cmd,,,i2c write reg8 0xEA 0x20 00,,,,,
Charger_Operation,FIX_SET_PP_VDDMAIN_0V_1,Set PP_VDDMAIN to 0V,apply,,,PP_VDDMAIN,,,,,
NTC_Read_Check,FIX_SET_PACK_NTC_2V,Set PACK_NTC to 2V,apply,,,PACK_NTC,,,,,
NTC_Read_Check,VADC_NTC_VOLTAGE,ntc voltage record m,mcu_send_cmd,,,beryl gpadc a1 96,,1.95,2.05,,
Charger_Function,FIX_SET_PP_VDDMAIN_5V,Set PP_VDDMAIN to 5V,apply,,5,PP_VDDMAIN,,,,,
Charger_Function,CONFIG_MFIO_9,configure mfio 9,mcu_send_cmd,,,beryl mfio set config 9 5 10,,,,,
Charger_Function,EN_CHR_MODE,enable charger test mode,mcu_send_cmd,,,i2c write reg8 0xEA 0x20 A5,,,,,
Charger_Function,READ_CHR_MODE_1,enable charger test mode,mcu_send_cmd,,,i2c read reg8 0xEA 0x20 1,,A5,A5,,
Charger_Function,SET_MFIO_9_LOW,set mfio 9 logic low,mcu_send_cmd,,,beryl mfio set config 9 21 10,,,,,
Charger_Function,DELAY_10MS_1,delay 10 ms,delay,,10,,mS,,,,
Charger_Function,SET_MFIO_9_HIGH,set mfio 9 logic high,mcu_send_cmd,,,beryl mfio set config 9 5 10,,,,,
Charger_Function,DELAY_10MS_2,delay 10 ms,delay,,10,,mS,,,,
Charger_Function,READ_CHR_MODE_2,check charge test mode config,mcu_send_cmd,,,i2c read reg8 0xEA 0x20 1,,!A5,!A5,,
Charger_Function,FIX_SET_PP_VDDMAIN_0V,Set PP_VDDMAIN to 0V,apply,,0,PP_VDDMAIN,,,,,
Charger_Function,PP_PRE_VDDMAIN_VOLT_0V,measure the volt of PP_PRE_VDDMAIN,measure_v,,,PP_PRE_VDDMAIN,V,3.7,3.9,,
Charger_Function,FIX_SET_PP_VDDMAIN_5V,Set PP_VDDMAIN to 5V,apply,,5,PP_VDDMAIN,,,,,
Charger_Function,PP_PRE_VDDMAIN_VOLT_5V,measure the volt of PP_PRE_VDDMAIN,measure_v,,,PP_PRE_VDDMAIN,V,4.1,4.3,,
Charger_Function,DISABLE_CHARGER,disable charger,mcu_send_cmd,,,i2c write reg8 i2c1 0xEA 0x10 08,,,,,
Charger_Function,PP_PRE_VDDMAIN_VOLT_DIS,measure the volt of PP_PRE_VDDMAIN,measure_v,,,PP_PRE_VDDMAIN,V,4.1,4.3,,
HDQ_Communication,SET_PACK_HDQ_OUTPUT,set PACK_HDQ output mode,mcu_send_cmd,,,gpio config A 0 outputPP none vhigh 0,,,,,
HDQ_Communication,SET_PACK_HDQ_LOW,set PACK_HDQ 0,mcu_send_cmd,,,gpio set A 0 0,,,,,
HDQ_Communication,PACK_HDQ_VOLT,measure the volt of PP_PRE_VDDMAIN,measure_v,,,PACK_HDQ,V,0,0,,
HDQ_Communication,SET_PACK_HDQ_HIGH,set PACK_HDQ 0,mcu_send_cmd,,,gpio set A 0 1,,,,,
HDQ_Communication,PACK_HDQ_VOLT,measure the volt of PP_PRE_VDDMAIN,measure_v,,,PACK_HDQ,V,1.7,1.9,,
Sensor_I2C_SPI_Check,WRITE_TANGO2_PATH,tango2 with fixture spi slave,mcu_send_cmd,,,spi write spi1 A 4 5A,,,,,
Sensor_I2C_SPI_Check,READ_TANGO2_PATH,tango2 with fixture spi slave,mcu_send_cmd,,,spi read spi1 A 4 2,,5A,5A,,
Sensor_I2C_SPI_Check,WRITE_I2C_BUFFER,i2c buffer with fixture i2c slave,mcu_send_cmd,,,i2c write reg8 i2c1 0x00 0x99 01,,,,,
Sensor_I2C_SPI_Check,READ_I2C_BUFFER,i2c buffer with fixture i2c slave,mcu_send_cmd,,,i2c read reg8 i2c1 0x00 0x99 1,,1,1,,
Sensor_I2C_SPI_Check,JAKKU_IMU_CHECK,jakku selftest,mcu_send_cmd,,,jakku selftest,,,,,
Sensor_I2C_SPI_Check,WRITE_I2C_BUFF,jaccel selftest,w2_send_cmd,,,jaccel selftest,,,,,
TRISTAR_FUNCTION,FIX_SET_PP_E75_5V,Set PP_E75 to 5V,apply,,5,PP_E75,,,,,
TRISTAR_FUNCTION,DELAY_500MS,delay 500 ms,delay,,500,,mS,,,,
TRISTAR_FUNCTION,FIX_DP2_CON_UART0_1,D2X - UART0,mcu_send_cmd,,,i2c write reg8 i2c1 0x34 0x01 A8,,,,,
TRISTAR_FUNCTION,FIX_DP2_CON_UART0_2,ACCX - JTAG_SWD,mcu_send_cmd,,,i2c write reg8 i2c1 0x34 0x02 AA,,,,,
TRISTAR_FUNCTION,TRISTAR_FW_CHECK,check tristar fw version,tri_dp2_send_cmd,,,ft fw ver,,,,,
TRISTAR_FUNCTION,SET_MCU_SWD_SEL_OUTPUT,,tri_dp2_send_cmd,,,gpio config D 1 outputPP none high,,,,,
TRISTAR_FUNCTION,SET_MCU_SWD_SEL_LOW1,,tri_dp2_send_cmd,,,gpio set D 1 0,,,,,
TRISTAR_FUNCTION,CHECK_SWD_ID_STM32,stm32 is target,swd_id_check,,,PP_TRISTAR_ACCX,,,,,
TRISTAR_FUNCTION,SET_MCU_SWD_SEL_HIGH,,tri_dp2_send_cmd,,,gpio set D 1 1,,,,,
TRISTAR_FUNCTION,CHECK_SWD_ID_W2,hearst is target,swd_id_check,,,PP_TRISTAR_ACCX,,,,,
TRISTAR_FUNCTION,SET_MCU_SWD_SEL_LOW2,,tri_dp2_send_cmd,,,gpio set D 1 0,,,,,
TRISTAR_FUNCTION,FIX_SET_PP_E75_0V,Set PP_E75 to 0V,apply,,0,PP_E75,,,,,
AUDIO_PLAYBACK_BATTCURR,FIX_SET_PP_VDDMAIN,Set PP_VDDMAIN to 0V,apply,,0,PP_VDDMAIN,,,,,
AUDIO_PLAYBACK_BATTCURR,W2_RST_L,short W2_RST_L to ground,apply,,0,W2_RST_L,,,,,
AUDIO_PLAYBACK_BATTCURR,L50_RST_L,short L50_RST_L to ground,apply,,0,L50_RST_L,,,,,
AUDIO_PLAYBACK_BATTCURR,SET_BERYL_STATE_3,beryl active state 3 target,mcu_send_cmd,,,beryl pwr mode set ACT3,,,,,
AUDIO_PLAYBACK_BATTCURR,L50_TDM_TO_ZYNQ,L50_TDM connect to ZYNQ,apply,,1,L50_TDM,,,,,
AUDIO_PLAYBACK_BATTCURR,RELEASE_L50_RST,release L50_RST,apply,,hiZ,L50_TDM,,,,,
AUDIO_PLAYBACK_BATTCURR,AUDIO_TO_L50_HP,audio connect to L50_HP,apply,,,L50_HPOUT_AUDIO,,,,,
AUDIO_PLAYBACK_BATTCURR,ZYNQ_OUTPUTTDM_1K,ZYNQ outputTMD 1k tone to L50,tdm_cmd,,,TDM_L50,,,,,
AUDIO_PLAYBACK_BATTCURR,PP_VBATT,measure the current of PP_VBATT,measure_i,,,PP_VBATT,,,,,
AUDIO_PLAYBACK_BATTCURR,AUDIO_THD_FRE_RMS,,audio_cmd,,,THD_FRE_RMS,,,,,
AUDIO_PLAYBACK_BATTCURR,AUDIO_THD,,audio_cmd,,0,THD,dB,,-60,,
AUDIO_PLAYBACK_BATTCURR,AUDIO_FRE,,audio_cmd,,0,FRE,Hz,990,1010,,
AUDIO_PLAYBACK_BATTCURR,AUDIO_RMS,,audio_cmd,,0,RMS,mV,350,500,,
DMIC_LOOP_BACK,VMIC_BIAS_DMIC1,,measure_v,,,PP_MICBIAS1,V,1.71,1.89,,
DMIC_LOOP_BACK,ZYNQ_TO_PDM1_1K,zynq output 1k to PDM1,pdm_cmd,,,PDM1,,,,,
DMIC_LOOP_BACK,PDM1_THD,,audio_cmd,,0,THD,dB,,-60,,
DMIC_LOOP_BACK,PDM1_FRE,,audio_cmd,,0,FRE,Hz,990,1010,,
DMIC_LOOP_BACK,PDM1_RMS,,audio_cmd,,0,RMS,mV,,,,
DMIC_LOOP_BACK,ZYNQ_TO_PDM2_2K,zynq output 2k to PDM2,pdm_cmd,,,PDM2,,,,,
DMIC_LOOP_BACK,PDM2_THD,,audio_cmd,,0,THD,dB,,-60,,
DMIC_LOOP_BACK,PDM2_FRE,,audio_cmd,,0,FRE,Hz,1990,2010,,
DMIC_LOOP_BACK,PDM2_RMS,,audio_cmd,,0,RMS,mV,,,,
DMIC_LOOP_BACK,ZYNQ_TO_PDM3_3K,zynq output 3k to PDM3,pdm_cmd,,,PDM3,,,,,
DMIC_LOOP_BACK,PDM3_THD,,audio_cmd,,0,THD,dB,,-60,,
DMIC_LOOP_BACK,PDM3_FRE,,audio_cmd,,0,FRE,Hz,2990,3010,,
DMIC_LOOP_BACK,PDM3_RMS,,audio_cmd,,0,RMS,mV,,,,
